configuracao,nuvem,fase,metodo,multiplicador,item_custo,usd_mes_1,usd_36m
C2,aws,1,iso-sla,1.5000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,1.5000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,1.5000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,1.5000,compute,3942.0000,141912.0000
C1,ibm,1,iso-sla,1.5000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,1.5000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,1.5000,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,1.5000,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,1.5000,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,1.5000,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,1.5000,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,1.5000,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,1.5000,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,1.5000,ia,0.0000,0.0000
C2,aws,1,iso-sla,1.7500,compute,4048.4340,145743.6240
C2,aws,1,iso-sla,1.7500,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,1.7500,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,1.7500,egress,921.6000,33177.6000
C2,aws,1,iso-sla,1.7500,licencas,0.0000,0.0000
C2,aws,1,iso-sla,1.7500,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,1.7500,backup,218.5380,7867.3680
C2,aws,1,iso-sla,1.7500,suporte,0.0000,0.0000
C2,aws,1,iso-sla,1.7500,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,1.7500,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,1.7500,ia,0.0000,0.0000
C1,ibm,1,iso-sla,1.7500,compute,3942.0000,141912.0000
C1,ibm,1,iso-sla,1.7500,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,1.7500,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,1.7500,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,1.7500,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,1.7500,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,1.7500,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,1.7500,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,1.7500,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,1.7500,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,1.7500,ia,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,compute,4048.4340,145743.6240
C2,aws,1,iso-sla,2.0000,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,2.0000,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,2.0000,egress,921.6000,33177.6000
C2,aws,1,iso-sla,2.0000,licencas,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,backup,218.5380,7867.3680
C2,aws,1,iso-sla,2.0000,suporte,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,2.0000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,2.0000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,compute,3942.0000,141912.0000
C1,ibm,1,iso-sla,2.0000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,2.0000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,2.0000,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,2.0000,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,2.0000,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,2.0000,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,2.0000,ia,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,compute,5541.1380,199480.9680
C2,aws,1,iso-sla,2.5000,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,2.5000,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,2.5000,egress,921.6000,33177.6000
C2,aws,1,iso-sla,2.5000,licencas,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,backup,218.5380,7867.3680
C2,aws,1,iso-sla,2.5000,suporte,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,2.5000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,2.5000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,compute,5403.4600,194524.5600
C1,ibm,1,iso-sla,2.5000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,2.5000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,2.5000,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,2.5000,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,2.5000,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,2.5000,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,2.5000,ia,0.0000,0.0000
C2,aws,1,iso-sla,3.0000,compute,5541.1380,199480.9680
C2,aws,1,iso-sla,3.0000,bloco,1502.2160,71018.7174
C2,aws,1,iso-sla,3.0000,objeto,829.4400,52483.5992
C2,aws,1,iso-sla,3.0000,egress,921.6000,33177.6000
C2,aws,1,iso-sla,3.0000,licencas,0.0000,0.0000
C2,aws,1,iso-sla,3.0000,premio-gerenciado,0.0000,0.0000
C2,aws,1,iso-sla,3.0000,backup,218.5380,7867.3680
C2,aws,1,iso-sla,3.0000,suporte,0.0000,0.0000
C2,aws,1,iso-sla,3.0000,rede-ip-balanceador,98.5500,3547.8000
C2,aws,1,iso-sla,3.0000,observabilidade,0.0000,0.0000
C2,aws,1,iso-sla,3.0000,ia,0.0000,0.0000
C1,ibm,1,iso-sla,3.0000,compute,5403.4600,194524.5600
C1,ibm,1,iso-sla,3.0000,bloco,3839.6952,181525.3129
C1,ibm,1,iso-sla,3.0000,objeto,607.3774,38432.3790
C1,ibm,1,iso-sla,3.0000,egress,1108.6817,39912.5422
C1,ibm,1,iso-sla,3.0000,licencas,0.0000,0.0000
C1,ibm,1,iso-sla,3.0000,premio-gerenciado,0.0000,0.0000
C1,ibm,1,iso-sla,3.0000,backup,160.0297,5761.0696
C1,ibm,1,iso-sla,3.0000,suporte,0.0000,0.0000
C1,ibm,1,iso-sla,3.0000,rede-ip-balanceador,101.2225,3644.0089
C1,ibm,1,iso-sla,3.0000,observabilidade,0.0000,0.0000
C1,ibm,1,iso-sla,3.0000,ia,0.0000,0.0000
C4,aws,2,iso-especificacao,1.0000,compute,3258.5986,117309.5503
C4,aws,2,iso-especificacao,1.0000,bloco,1513.2280,71539.3203
C4,aws,2,iso-especificacao,1.0000,objeto,829.4400,52483.5992
C4,aws,2,iso-especificacao,1.0000,egress,921.6000,33177.6000
C4,aws,2,iso-especificacao,1.0000,licencas,0.0000,0.0000
C4,aws,2,iso-especificacao,1.0000,premio-gerenciado,2018.9610,72682.5960
C4,aws,2,iso-especificacao,1.0000,backup,0.0000,0.0000
C4,aws,2,iso-especificacao,1.0000,suporte,0.0000,0.0000
C4,aws,2,iso-especificacao,1.0000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-especificacao,1.0000,observabilidade,0.0000,0.0000
C4,aws,2,iso-especificacao,1.0000,ia,29.0000,1044.0000
C3,ibm,2,iso-especificacao,1.0000,compute,3502.1422,126077.1193
C3,ibm,2,iso-especificacao,1.0000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-especificacao,1.0000,objeto,607.3774,38432.3790
C3,ibm,2,iso-especificacao,1.0000,egress,1108.6817,39912.5422
C3,ibm,2,iso-especificacao,1.0000,licencas,0.0000,0.0000
C3,ibm,2,iso-especificacao,1.0000,premio-gerenciado,3814.8995,137336.3813
C3,ibm,2,iso-especificacao,1.0000,backup,60.7377,2186.5587
C3,ibm,2,iso-especificacao,1.0000,suporte,0.0000,0.0000
C3,ibm,2,iso-especificacao,1.0000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-especificacao,1.0000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-especificacao,1.0000,ia,25.4400,915.8400
C4,aws,2,iso-sla,1.2500,compute,3861.7246,139022.0863
C4,aws,2,iso-sla,1.2500,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,1.2500,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,1.2500,egress,921.6000,33177.6000
C4,aws,2,iso-sla,1.2500,licencas,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,premio-gerenciado,2291.3970,82490.2920
C4,aws,2,iso-sla,1.2500,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.2500,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.2500,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.2500,compute,3890.5022,140058.0793
C3,ibm,2,iso-sla,1.2500,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.2500,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.2500,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.2500,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,premio-gerenciado,4339.8397,156234.2285
C3,ibm,2,iso-sla,1.2500,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.2500,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.2500,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.2500,ia,25.4400,915.8400
C4,aws,2,iso-sla,1.5000,compute,3861.7246,139022.0863
C4,aws,2,iso-sla,1.5000,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,1.5000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,1.5000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,1.5000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,premio-gerenciado,2291.3970,82490.2920
C4,aws,2,iso-sla,1.5000,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.5000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.5000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.5000,compute,3890.5022,140058.0793
C3,ibm,2,iso-sla,1.5000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.5000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.5000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.5000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,premio-gerenciado,4339.8397,156234.2285
C3,ibm,2,iso-sla,1.5000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.5000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.5000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.5000,ia,25.4400,915.8400
C4,aws,2,iso-sla,1.7500,compute,3861.7246,139022.0863
C4,aws,2,iso-sla,1.7500,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,1.7500,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,1.7500,egress,921.6000,33177.6000
C4,aws,2,iso-sla,1.7500,licencas,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,premio-gerenciado,2291.3970,82490.2920
C4,aws,2,iso-sla,1.7500,backup,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,suporte,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,1.7500,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,1.7500,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,1.7500,compute,3890.5022,140058.0793
C3,ibm,2,iso-sla,1.7500,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,1.7500,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,1.7500,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,1.7500,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,premio-gerenciado,4339.8397,156234.2285
C3,ibm,2,iso-sla,1.7500,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,1.7500,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,1.7500,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,1.7500,ia,25.4400,915.8400
C4,aws,2,iso-sla,2.0000,compute,3861.7246,139022.0863
C4,aws,2,iso-sla,2.0000,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,2.0000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,2.0000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,2.0000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,premio-gerenciado,2291.3970,82490.2920
C4,aws,2,iso-sla,2.0000,backup,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,2.0000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,2.0000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,2.0000,compute,3890.5022,140058.0793
C3,ibm,2,iso-sla,2.0000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,2.0000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,2.0000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,2.0000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,premio-gerenciado,4339.8397,156234.2285
C3,ibm,2,iso-sla,2.0000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,2.0000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,2.0000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,2.0000,ia,25.4400,915.8400
C4,aws,2,iso-sla,2.5000,compute,5067.9766,182447.1583
C4,aws,2,iso-sla,2.5000,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,2.5000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,2.5000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,2.5000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,premio-gerenciado,2836.2690,102105.6840
C4,aws,2,iso-sla,2.5000,backup,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,2.5000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,2.5000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,2.5000,compute,5054.1222,181948.3993
C3,ibm,2,iso-sla,2.5000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,2.5000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,2.5000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,2.5000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,premio-gerenciado,5431.9725,195551.0093
C3,ibm,2,iso-sla,2.5000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,2.5000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,2.5000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,2.5000,ia,25.4400,915.8400
C4,aws,2,iso-sla,3.0000,compute,5067.9766,182447.1583
C4,aws,2,iso-sla,3.0000,bloco,1513.2280,71539.3203
C4,aws,2,iso-sla,3.0000,objeto,829.4400,52483.5992
C4,aws,2,iso-sla,3.0000,egress,921.6000,33177.6000
C4,aws,2,iso-sla,3.0000,licencas,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,premio-gerenciado,2836.2690,102105.6840
C4,aws,2,iso-sla,3.0000,backup,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,suporte,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,rede-ip-balanceador,32.8500,1182.6000
C4,aws,2,iso-sla,3.0000,observabilidade,0.0000,0.0000
C4,aws,2,iso-sla,3.0000,ia,29.0000,1044.0000
C3,ibm,2,iso-sla,3.0000,compute,5054.1222,181948.3993
C3,ibm,2,iso-sla,3.0000,bloco,7198.4734,340314.8049
C3,ibm,2,iso-sla,3.0000,objeto,607.3774,38432.3790
C3,ibm,2,iso-sla,3.0000,egress,1108.6817,39912.5422
C3,ibm,2,iso-sla,3.0000,licencas,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,premio-gerenciado,5431.9725,195551.0093
C3,ibm,2,iso-sla,3.0000,backup,60.7377,2186.5587
C3,ibm,2,iso-sla,3.0000,suporte,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,rede-ip-balanceador,41.6939,1500.9800
C3,ibm,2,iso-sla,3.0000,observabilidade,0.0000,0.0000
C3,ibm,2,iso-sla,3.0000,ia,25.4400,915.8400
